03/11/2015 08:54 - MATHEUSUZELOTTO | ID =  | CI = 13772 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 25.20
03/11/2015 08:54 - MATHEUSUZELOTTO | ID =  | CI = 13772 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 130.92
03/11/2015 08:54 - MATHEUSUZELOTTO | ID =  | CI = 13772 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 21.75
03/11/2015 08:56 - MATHEUSUZELOTTO | ID =  | CI = 13773 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 25.20
03/11/2015 08:56 - MATHEUSUZELOTTO | ID = 6951 | CI = 13773 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 25.20
03/11/2015 08:58 - MATHEUSUZELOTTO | ID = 6951 | CI = 13773 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 25.20
03/11/2015 08:58 - MATHEUSUZELOTTO | ID = 6948 | CI = 13772 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 25.20
03/11/2015 08:58 - MATHEUSUZELOTTO | ID = 6949 | CI = 13772 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 130.92
03/11/2015 08:58 - MATHEUSUZELOTTO | ID = 6950 | CI = 13772 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 21.75
03/11/2015 09:00 - MATHEUSUZELOTTO | ID = 6948 | CI = 13772 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 25.20
03/11/2015 09:00 - MATHEUSUZELOTTO | ID = 6949 | CI = 13772 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 130.92
03/11/2015 09:00 - MATHEUSUZELOTTO | ID = 6950 | CI = 13772 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 21.75
03/11/2015 15:35 - ROBSONMANFRIM | ID =  | CI = 13783 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 125.00
03/11/2015 15:35 - ROBSONMANFRIM | ID =  | CI = 13783 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 28.40
03/11/2015 15:35 - ROBSONMANFRIM | ID =  | CI = 13783 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
04/11/2015 12:22 - CAMACETI | ID =  | CI = 13790 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 40.13
04/11/2015 12:22 - CAMACETI | ID =  | CI = 13790 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 45.00
04/11/2015 12:22 - CAMACETI | ID =  | CI = 13790 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 200.00
04/11/2015 14:27 - TIAGOLIMA | ID =  | CI = 13794 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 16.00
04/11/2015 14:27 - TIAGOLIMA | ID =  | CI = 13794 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
04/11/2015 14:27 - TIAGOLIMA | ID =  | CI = 13794 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 82.00
04/11/2015 14:27 - TIAGOLIMA | ID =  | CI = 13794 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
04/11/2015 14:27 - TIAGOLIMA | ID =  | CI = 13794 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
04/11/2015 14:27 - TIAGOLIMA | ID =  | CI = 13794 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 200.00
04/11/2015 15:36 - FRANCISCO | ID =  | CI = 13800 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 36.30
04/11/2015 15:36 - FRANCISCO | ID =  | CI = 13800 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 18.00
05/11/2015 08:10 - SANDRA | ID =  | CI = 13805 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 287.70
05/11/2015 16:32 - TIAGOLIMA | ID = 6971 | CI = 13794 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
05/11/2015 16:32 - TIAGOLIMA | ID = 6972 | CI = 13794 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
05/11/2015 16:32 - TIAGOLIMA | ID = 6973 | CI = 13794 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 82.00
05/11/2015 16:32 - TIAGOLIMA | ID = 6974 | CI = 13794 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
05/11/2015 16:32 - TIAGOLIMA | ID = 6975 | CI = 13794 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 16.00
05/11/2015 16:32 - TIAGOLIMA | ID = 6976 | CI = 13794 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 200.00
06/11/2015 11:08 - FRANCISCO | ID =  | CI = 13834 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 75.02
06/11/2015 11:08 - FRANCISCO | ID =  | CI = 13834 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 38.60
06/11/2015 11:24 - FRANCISCO | ID =  | CI = 13835 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 136.01
06/11/2015 11:24 - FRANCISCO | ID =  | CI = 13835 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 83.83
09/11/2015 09:14 - SANDRA | ID =  | CI = 13844 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 116.60
09/11/2015 09:15 - LUIDE | ID =  | CI = 13845 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 89.00
