02/01/2017 08:47 - FRANCISCO | ID =  | CI = 18800 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 130.00
02/01/2017 08:47 - FRANCISCO | ID =  | CI = 18800 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 66.97
02/01/2017 09:36 - SANDRA | ID =  | CI = 18807 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 114.30
03/01/2017 08:59 - LARISSALIMA | ID =  | CI = 18814 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 47.20
03/01/2017 08:59 - LARISSALIMA | ID =  | CI = 18814 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 117.00
03/01/2017 10:02 - ANGELO | ID =  | CI = 18815 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 22.00
03/01/2017 10:02 - ANGELO | ID =  | CI = 18815 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
03/01/2017 10:02 - ANGELO | ID =  | CI = 18815 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
03/01/2017 10:02 - ANGELO | ID =  | CI = 18815 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
03/01/2017 10:06 - ANGELO | ID =  | CI = 18816 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
03/01/2017 10:06 - ANGELO | ID =  | CI = 18816 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 24.00
03/01/2017 10:06 - ANGELO | ID =  | CI = 18816 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
03/01/2017 10:06 - ANGELO | ID =  | CI = 18816 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
03/01/2017 10:06 - ANGELO | ID =  | CI = 18816 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
03/01/2017 10:09 - ANGELO | ID =  | CI = 18817 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
03/01/2017 10:09 - ANGELO | ID =  | CI = 18817 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 24.00
03/01/2017 10:09 - ANGELO | ID =  | CI = 18817 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
03/01/2017 10:09 - ANGELO | ID =  | CI = 18817 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
03/01/2017 10:09 - ANGELO | ID =  | CI = 18817 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
03/01/2017 10:22 - ANGELO | ID =  | CI = 18818 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 20.40
03/01/2017 10:22 - ANGELO | ID =  | CI = 18818 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
03/01/2017 10:22 - ANGELO | ID =  | CI = 18818 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
03/01/2017 10:22 - ANGELO | ID =  | CI = 18818 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
03/01/2017 10:23 - ANGELO | ID =  | CI = 18819 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 24.90
03/01/2017 10:23 - ANGELO | ID =  | CI = 18819 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
03/01/2017 10:23 - ANGELO | ID =  | CI = 18819 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
03/01/2017 10:23 - ANGELO | ID =  | CI = 18819 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
03/01/2017 10:25 - ANGELO | ID =  | CI = 18820 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 22.90
03/01/2017 10:25 - ANGELO | ID =  | CI = 18820 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
03/01/2017 10:25 - ANGELO | ID =  | CI = 18820 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
03/01/2017 10:26 - ANGELO | ID = 15208 | CI = 18819 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 24.90
03/01/2017 10:26 - ANGELO | ID = 15209 | CI = 18819 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
03/01/2017 10:26 - ANGELO | ID = 15210 | CI = 18819 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
03/01/2017 10:26 - ANGELO | ID = 15211 | CI = 18819 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
03/01/2017 10:27 - ANGELO | ID =  | CI = 18821 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 24.90
03/01/2017 10:27 - ANGELO | ID =  | CI = 18821 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
03/01/2017 10:29 - ANGELO | ID =  | CI = 18822 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.40
03/01/2017 10:29 - ANGELO | ID =  | CI = 18822 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
03/01/2017 10:29 - ANGELO | ID =  | CI = 18822 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
03/01/2017 10:29 - ANGELO | ID =  | CI = 18822 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
05/01/2017 07:14 - JENS | ID =  | CI = 18857 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 72.90
05/01/2017 09:19 - LUZMARINA | ID =  | CI = 18859 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 40.50
05/01/2017 11:19 - LUZMARINA | ID =  | CI = 18863 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 29.02
05/01/2017 14:16 - FRANCISCO | ID =  | CI = 18872 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 20.70
06/01/2017 16:54 - SONARAPIASSI | ID =  | CI = 18890 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 189.37
09/01/2017 08:45 - MATHEUSRODRIGUES | ID =  | CI = 18895 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 205.41
09/01/2017 08:45 - MATHEUSRODRIGUES | ID =  | CI = 18895 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 150.00
