01/03/2017 10:23 - ROBSONMANFRIM | ID =  | CI = 19574 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 242.00
01/03/2017 10:23 - ROBSONMANFRIM | ID =  | CI = 19574 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 62.00
01/03/2017 10:23 - ROBSONMANFRIM | ID =  | CI = 19574 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 30.00
01/03/2017 10:23 - ROBSONMANFRIM | ID =  | CI = 19574 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
01/03/2017 10:23 - ROBSONMANFRIM | ID =  | CI = 19574 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 4.00
01/03/2017 13:07 - SANDRA | ID =  | CI = 19581 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 116.60
01/03/2017 13:47 - NORIVAL | ID =  | CI = 19585 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 38.00
01/03/2017 14:24 - FRANCISCO | ID =  | CI = 19587 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.00
01/03/2017 14:24 - FRANCISCO | ID =  | CI = 19587 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 54.12
02/03/2017 13:43 - FRANCISCO | ID =  | CI = 19607 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 85.00
02/03/2017 13:43 - FRANCISCO | ID =  | CI = 19607 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 62.68
02/03/2017 14:32 - ANGELO | ID =  | CI = 19610 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 27.00
02/03/2017 14:34 - ANGELO | ID =  | CI = 19611 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 27.00
02/03/2017 14:42 - ANGELO | ID =  | CI = 19613 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 27.00
02/03/2017 14:44 - ANGELO | ID =  | CI = 19614 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
02/03/2017 14:49 - ANGELO | ID =  | CI = 19615 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
02/03/2017 16:01 - STEFANIAESTEVO | ID =  | CI = 19617 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 293.51
03/03/2017 09:57 - FRANCISCO | ID =  | CI = 19624 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 31.50
03/03/2017 16:21 - NORIVAL | ID =  | CI = 19634 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 15.50
06/03/2017 08:28 - ANGELO | ID =  | CI = 19645 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 27.00
06/03/2017 08:32 - ANGELO | ID =  | CI = 19647 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 27.00
06/03/2017 08:35 - ANGELO | ID =  | CI = 19648 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 28.53
06/03/2017 08:39 - ANGELO | ID =  | CI = 19649 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 27.00
07/03/2017 09:07 - SANDRA | ID =  | CI = 19661 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 155.10
07/03/2017 09:07 - SANDRA | ID =  | CI = 19661 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 29.70
08/03/2017 08:44 - FRANCISCO | ID =  | CI = 19686 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 75.30
08/03/2017 08:49 - FRANCISCO | ID =  | CI = 19688 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 63.00
08/03/2017 08:54 - FRANCISCO | ID =  | CI = 19689 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 35.00
08/03/2017 14:05 - VELOSA | ID =  | CI = 19695 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 40.25
08/03/2017 14:05 - VELOSA | ID =  | CI = 19695 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 11.00
08/03/2017 14:05 - VELOSA | ID =  | CI = 19695 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
09/03/2017 11:30 - NORIVAL | ID =  | CI = 19706 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 79.90
09/03/2017 11:30 - NORIVAL | ID =  | CI = 19706 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 181.00
09/03/2017 14:19 - FRANCISCO | ID =  | CI = 19709 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.01
09/03/2017 14:19 - FRANCISCO | ID =  | CI = 19709 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 46.40
10/03/2017 08:56 - MARTA | ID =  | CI = 19714 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 60.00
10/03/2017 08:56 - MARTA | ID =  | CI = 19714 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
10/03/2017 09:20 - FRANCISCO | ID =  | CI = 19715 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 90.00
10/03/2017 09:20 - FRANCISCO | ID =  | CI = 19715 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 58.77
10/03/2017 12:48 - NORIVAL | ID =  | CI = 19716 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 162.60
12/03/2017 10:59 - JENS | ID =  | CI = 19731 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 222.31
12/03/2017 10:59 - JENS | ID =  | CI = 19731 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 69.00
12/03/2017 10:59 - JENS | ID =  | CI = 19731 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 174.20
12/03/2017 10:59 - JENS | ID =  | CI = 19731 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 336.00
13/03/2017 07:27 - LUISMOREIRA | ID =  | CI = 19732 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 35.00
13/03/2017 07:54 - FRANCISCO | ID =  | CI = 19734 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 90.00
13/03/2017 07:54 - FRANCISCO | ID =  | CI = 19734 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 47.40
14/03/2017 09:38 - ANGELO | ID =  | CI = 19761 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 58.00
14/03/2017 09:40 - ANGELO | ID =  | CI = 19762 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 29.00
14/03/2017 09:43 - ANGELO | ID =  | CI = 19763 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 61.00
14/03/2017 10:47 - FRANCISCO | ID =  | CI = 19767 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 153.01
14/03/2017 10:47 - FRANCISCO | ID =  | CI = 19767 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 29.00
14/03/2017 10:47 - FRANCISCO | ID =  | CI = 19767 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 10.00
14/03/2017 10:51 - FRANCISCO | ID =  | CI = 19768 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 38.00
14/03/2017 13:33 - NORIVAL | ID =  | CI = 19774 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.00
14/03/2017 13:33 - NORIVAL | ID =  | CI = 19774 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 4.90
14/03/2017 13:34 - NORIVAL | ID = 16475 | CI = 19774 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 100.00
14/03/2017 13:34 - NORIVAL | ID = 16476 | CI = 19774 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 4.90
14/03/2017 16:34 - MICHELAAUGUSTO | ID =  | CI = 19793 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 27.15
14/03/2017 16:51 - MARTA | ID =  | CI = 19794 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 52.80
14/03/2017 16:51 - MARTA | ID =  | CI = 19794 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
15/03/2017 07:50 - NORIVAL | ID =  | CI = 19796 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 60.00
15/03/2017 13:36 - NORIVAL | ID =  | CI = 19800 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 41.80
15/03/2017 13:42 - NORIVAL | ID =  | CI = 19801 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 20.00
15/03/2017 13:51 - NORIVAL | ID =  | CI = 19802 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 47.80
16/03/2017 10:20 - ANGELO | ID =  | CI = 19815 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 27.00
16/03/2017 10:23 - ANGELO | ID =  | CI = 19816 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.00
16/03/2017 10:25 - ANGELO | ID =  | CI = 19817 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 21.40
16/03/2017 10:29 - ANGELO | ID =  | CI = 19818 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 27.00
16/03/2017 10:32 - ANGELO | ID =  | CI = 19819 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 27.00
16/03/2017 10:37 - ANGELO | ID =  | CI = 19820 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.00
16/03/2017 10:41 - ANGELO | ID =  | CI = 19821 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.00
16/03/2017 10:41 - ANGELO | ID = 16534 | CI = 19821 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
16/03/2017 10:41 - ANGELO | ID = 16534 | CI = 19821 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
16/03/2017 10:43 - ANGELO | ID =  | CI = 19822 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 15.50
16/03/2017 10:45 - ANGELO | ID =  | CI = 19823 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
