02/05/2017 08:13 - GUSTAVOMELGES | ID =  | CI = 20406 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 708.40
02/05/2017 08:13 - GUSTAVOMELGES | ID =  | CI = 20406 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 155.00
02/05/2017 08:14 - GUSTAVOMELGES | ID = 17208 | CI = 20406 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 708.40
02/05/2017 08:14 - GUSTAVOMELGES | ID = 17209 | CI = 20406 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 155.00
02/05/2017 08:29 - OSVALDOFLORES | ID =  | CI = 20408 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 885.50
02/05/2017 08:29 - OSVALDOFLORES | ID =  | CI = 20408 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 162.00
02/05/2017 08:29 - OSVALDOFLORES | ID =  | CI = 20408 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 45.80
02/05/2017 08:29 - OSVALDOFLORES | ID =  | CI = 20408 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
02/05/2017 08:29 - OSVALDOFLORES | ID =  | CI = 20408 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
02/05/2017 08:29 - OSVALDOFLORES | ID =  | CI = 20408 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
02/05/2017 09:22 - FRANCISCO | ID =  | CI = 20411 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 184.18
02/05/2017 09:22 - FRANCISCO | ID =  | CI = 20411 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 112.82
02/05/2017 09:40 - FRANCISCO | ID =  | CI = 20413 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 86.68
02/05/2017 09:51 - FRANCISCO | ID =  | CI = 20414 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 90.00
02/05/2017 09:51 - FRANCISCO | ID =  | CI = 20414 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 59.25
02/05/2017 13:04 - LUISMOREIRA | ID =  | CI = 20416 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 35.00
02/05/2017 13:10 - PARDAL | ID =  | CI = 20418 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 66.80
02/05/2017 14:45 - KLEBER | ID =  | CI = 20421 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 0.00
02/05/2017 14:45 - KLEBER | ID =  | CI = 20421 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
02/05/2017 14:45 - KLEBER | ID =  | CI = 20421 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 59.80
02/05/2017 14:45 - KLEBER | ID =  | CI = 20421 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
02/05/2017 14:45 - KLEBER | ID =  | CI = 20421 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
02/05/2017 14:45 - KLEBER | ID =  | CI = 20421 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
02/05/2017 15:09 - FRANCISCO | ID =  | CI = 20424 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 31.00
03/05/2017 15:32 - STEFANIAESTEVO | ID =  | CI = 20439 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 103.96
04/05/2017 08:15 - NORIVAL | ID =  | CI = 20445 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
04/05/2017 13:46 - FRANCISCO | ID =  | CI = 20458 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 141.04
04/05/2017 13:46 - FRANCISCO | ID =  | CI = 20458 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 137.88
04/05/2017 14:19 - LUZMARINA | ID =  | CI = 20462 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 17.90
04/05/2017 14:23 - LUZMARINA | ID =  | CI = 20464 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 30.00
04/05/2017 17:29 - NORIVAL | ID =  | CI = 20473 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 800.00
05/05/2017 09:10 - LUISMOREIRA | ID =  | CI = 20479 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 70.18
05/05/2017 09:10 - LUISMOREIRA | ID =  | CI = 20479 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 12.00
